[#|2013-08-29T14:01:09.955+0200|WARNING|glassfish3.1.2|org.apache.catalina.connector.Request|_ThreadID=24;_ThreadName=Thread-2;|PWC4011: Unable to set request character encoding to UTF-8 from context , because request parameters have already been read, or ServletRequest.getReader() has already been called|#]

[#|2013-08-29T14:01:10.676+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.logging.level; value=FINEST; translated value=FINEST|#]

[#|2013-08-29T14:01:10.677+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.logging.level; value=FINEST; translated value=FINEST|#]

[#|2013-08-29T14:01:10.678+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Begin predeploying Persistence Unit AdministrationEJBPU; session file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU; state Initial; factoryCount 0|#]

[#|2013-08-29T14:01:10.679+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.orm.throw.exceptions; default value=true|#]

[#|2013-08-29T14:01:10.679+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.weaving.changetracking; default value=true|#]

[#|2013-08-29T14:01:10.680+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.weaving.lazy; default value=true|#]

[#|2013-08-29T14:01:10.680+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.weaving.eager; default value=false|#]

[#|2013-08-29T14:01:10.681+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.weaving.fetchgroups; default value=true|#]

[#|2013-08-29T14:01:10.681+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.weaving.internal; default value=true|#]

[#|2013-08-29T14:01:10.681+0200|FINEST|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.properties|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|property=eclipselink.multitenant.tenants-share-emf; default value=true|#]

